nohup: ignoring input
============================================
  Chain: unet_pp -> attention_unet_pp
  Started at Thu May 14 00:44:25 CST 2026
============================================
[03:20] Epoch [ 48/100] | Train Loss: 0.1367 | Valid Loss: 0.1165 | Dice L: 0.9015 | Dice T: 0.7888 | Combined: 0.8339 | LR: 1.00e-05 | Time: 408.8s
[03:25] Epoch [ 49/100] | Train Loss: 0.1361 | Valid Loss: 0.1162 | Dice L: 0.8989 | Dice T: 0.7897 | Combined: 0.8334 | LR: 1.00e-05 | Time: 408.7s
[03:30] Epoch [ 49/100] | Train Loss: 0.1361 | Valid Loss: 0.1162 | Dice L: 0.8989 | Dice T: 0.7897 | Combined: 0.8334 | LR: 1.00e-05 | Time: 408.7s
[03:35] Epoch [ 50/100] | Train Loss: 0.1361 | Valid Loss: 0.1125 | Dice L: 0.8965 | Dice T: 0.7914 | Combined: 0.8334 | LR: 1.00e-05 | Time: 408.6s
[03:40] Epoch [ 51/100] | Train Loss: 0.1367 | Valid Loss: 0.1155 | Dice L: 0.9005 | Dice T: 0.7910 | Combined: 0.8348 | LR: 1.00e-05 | Time: 408.5s
[03:45] Epoch [ 52/100] | Train Loss: 0.1363 | Valid Loss: 0.1153 | Dice L: 0.8984 | Dice T: 0.7868 | Combined: 0.8315 | LR: 1.00e-05 | Time: 408.7s
[03:50] Epoch [ 52/100] | Train Loss: 0.1363 | Valid Loss: 0.1153 | Dice L: 0.8984 | Dice T: 0.7868 | Combined: 0.8315 | LR: 1.00e-05 | Time: 408.7s
[03:55] Epoch [ 53/100] | Train Loss: 0.1357 | Valid Loss: 0.1201 | Dice L: 0.9005 | Dice T: 0.7825 | Combined: 0.8297 | LR: 1.00e-05 | Time: 408.7s
[04:00] Epoch [ 54/100] | Train Loss: 0.1362 | Valid Loss: 0.1161 | Dice L: 0.8973 | Dice T: 0.7878 | Combined: 0.8316 | LR: 1.00e-05 | Time: 408.5s
[04:05] Epoch [ 55/100] | Train Loss: 0.1361 | Valid Loss: 0.1179 | Dice L: 0.8980 | Dice T: 0.7879 | Combined: 0.8319 | LR: 1.00e-05 | Time: 408.5s
